Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Business Freedom,Trade Freedom,Investment Freedom,Financial Freedom,2019 Score
19.6,29.6,25.2,91.7,49.2,66.0,10.0,10.0,51.5
54.8,30.6,40.4,86.3,69.3,87.8,70.0,70.0,66.5
31.6,36.2,28.9,76.4,61.6,67.4,30.0,30.0,46.2
35.9,26.6,20.5,83.9,55.7,61.2,30.0,40.0,50.6
47.8,44.5,33.5,69.3,56.4,70.0,55.0,60.0,52.2
57.2,46.3,38.6,84.7,78.3,80.8,75.0,70.0,67.7
79.1,86.5,79.9,62.8,88.3,87.6,80.0,90.0,80.9
84.2,71.3,77.4,50.5,74.9,86.0,90.0,70.0,72.0
59.1,53.1,44.7,87.5,69.5,74.6,60.0,60.0,65.4
42.2,46.9,43.7,97.3,68.5,47.8,50.0,60.0,62.9
63.5,50.7,53.6,99.7,71.4,83.8,75.0,80.0,66.4
36.1,34.5,24.4,72.7,50.9,63.6,45.0,30.0,55.6
52.9,59.9,53.8,70.1,69.8,56.6,70.0,60.0,64.7
55.2,51.7,37.7,89.4,75.0,76.4,30.0,10.0,57.9
81.3,61.6,72.5,47.1,78.1,86.0,85.0,70.0,67.3
41.7,46.9,27.2,79.9,61.8,64.0,55.0,50.0,55.4
37.2,32.8,28.1,69.3,62.4,61.8,70.0,50.0,55.3
62.5,55.4,54.5,83.0,68.7,79.4,20.0,30.0,62.9
20.5,12.3,19.7,82.4,58.8,70.4,15.0,40.0,42.3
40.2,37.9,30.2,84.3,49.7,82.6,65.0,60.0,61.9
58.1,45.7,52.4,82.7,68.7,83.8,65.0,70.0,69.5
57.3,51.7,28.1,70.5,57.9,69.0,50.0,50.0,51.9
64.0,56.0,43.7,90.7,80.2,84.0,65.0,50.0,65.1
62.5,41.9,35.1,90.2,62.7,86.0,70.0,60.0,69.0
49.1,42.9,36.6,81.9,51.6,65.2,65.0,40.0,59.4
34.7,18.1,30.6,86.6,52.8,70.8,30.0,20.0,53.6
