Country,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)$",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP)$,Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latitude,Longitude
Afghanistan,Asia-Pacific,152.0,39.0,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66.0,10.0,10.0,7.0,20.0,20.0,5.0,25.6,355.0,696.0,2.5,2.9,1958.0,88.0,5.0,539.0,7.3,33.93911,67.709953
Albania,Europe,52.0,27.0,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0,1.1,23.0,15.0,24.9,29.5,29.0,360.0,3.9,2.5,12507.0,139.0,2.0,11191.0,71.2,41.153332,20.168331
Algeria,Middle East and North Africa,171.0,14.0,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30.0,30.0,8.8,35.0,23.0,24.5,41.4,415.0,6329.0,2.0,3.1,15237.0,100.0,5.6,12030.0,25.8,28.033886,1.659626
Angola,Sub-Saharan Africa,156.0,33.0,50.6,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30.0,40.0,9.4,17.0,30.0,20.6,25.3,282.0,1903.0,0.7,2.9,6753.0,82.0,31.7,22545.0,65.3,-11.202692,17.873887
Argentina,Americas,148.0,26.0,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0,7.5,35.0,30.0,30.8,41.0,441.0,9202.0,2.9,0.7,20876.0,87.0,25.7,118570.0,52.6,-38.416097,-63.616672
Armenia,Europe,47.0,24.0,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0,2.1,26.0,20.0,21.3,26.4,30.0,283.0,7.5,3.6,9456.0,182.0,0.9,2457.0,53.5,40.069099,45.038189
Australia,Asia-Pacific,5.0,4.0,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,1.2,45.0,30.0,28.2,36.5,248.0,12465.0,2.3,2.4,50334.0,56.0,2.0,463680.0,41.6,-25.274398,133.775136
Austria,Europe,31.0,16.0,72.0,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0,2.0,50.0,25.0,42.7,50.2,88.0,4396.0,2.9,1.3,49869.0,55.0,2.2,96296.0,78.8,47.516231,14.550072
Azerbaijan,Asia-Pacific,60.0,13.0,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60.0,60.0,5.2,25.0,20.0,15.0,36.7,98.0,1718.0,0.1,1.2,17492.0,50.0,13.0,28670.0,54.7,40.143105,47.576927
Bahamas,Americas,76.0,15.0,62.9,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50.0,60.0,18.6,0.0,0.0,16.3,21.0,4.0,116.0,1.3,-0.7,31139.0,126.0,1.4,9277.0,57.2,25.03428,-77.39628
